sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	reef
150385	RRAP_ECT01_2021_Ahya_HICK_43	RRAP_ECT01_2021_Ahya_HICK_43_R1.fastq.gz	56f3ed7e9218cef28f98d3989f4c1cdc4d8e2db0815bb318e96a9320bd306fde	RRAP_ECT01_2021_Ahya_HICK_43_R2.fastq.gz	b6442b5e9f23590d336d0ce860d5885d036699efa7bb1c60617e4a012b9ce465	713	20220607_laffy	13011	327	43	327	43	0	0	0	0	306	29	0	0	76	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.47510731	145.5023146	20210320	2.5	Hicks Reef
150682	RRAP_ECT01_2021_Ahya_OCDA_359	RRAP_ECT01_2021_Ahya_OCDA_359_R1.fastq.gz	32d0e628ba79cbe7d36c6ba677f94a9b7d1869c98097777c4bef1270566d5e27	RRAP_ECT01_2021_Ahya_OCDA_359_R2.fastq.gz	260926e16fe0fe4cca62a3e2b0cfe9d7014717b39d6292eca14a1015e7be09ed	713	20220607_laffy	28663	1339	139	1339	139	0	0	0	0	1203	64	0	0	407	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.82548119	147.6268675	20210421	0.9	Davies
150554	RRAP_ECT01_2021_Ahya_NDIR_62	RRAP_ECT01_2021_Ahya_NDIR_62_R1.fastq.gz	28d670c2386e82dae1fba8f40b5a5e5fc235fe6a6f9c1b58a564569bbdc420b6	RRAP_ECT01_2021_Ahya_NDIR_62_R2.fastq.gz	9e40692566b18f1e0e7f6ad852853d64d245fdcd95e5db7ccff78e40073bd87e	713	20220607_laffy	20133	886	91	886	91	0	0	0	0	829	57	0	0	284	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.74295866	145.5129679	20210322	1.8	North Direction Island Reef
150756	RRAP_ECT01_2021_Ahya_STCR_263	RRAP_ECT01_2021_Ahya_STCR_263_R1.fastq.gz	51ecd44c2aae51eec7bf4ad1e3a08df72efc235bae68f5f70615f4a6f048c3c6	RRAP_ECT01_2021_Ahya_STCR_263_R2.fastq.gz	25ee2d4161731ab2149772cb0344f59e095c76a5d46456004952a9c8b790b5b1	713	20220607_laffy	23792	959	94	959	94	0	0	0	0	920	59	0	0	294	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.07787531	145.8384226	20210415	0.8	St Crispin
150677	RRAP_ECT01_2021_Ahya_OCDA_354	RRAP_ECT01_2021_Ahya_OCDA_354_R1.fastq.gz	a52dd4bbd1eee02def22b409aa179b89b3afad3a9ae2d92807ef83ce8733d33c	RRAP_ECT01_2021_Ahya_OCDA_354_R2.fastq.gz	52dad8c56a38a5767f8c2b401dce144255ca8a197538687e8facea07b6ed4bbe	713	20220607_laffy	19298	658	78	658	78	0	0	0	0	613	47	0	0	205	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.82545881	147.6267491	20210421	1	Davies
150334	RRAP_ECT01_2021_Ahya_ECAY_85	RRAP_ECT01_2021_Ahya_ECAY_85_R1.fastq.gz	6013ecc55f3fe9492339597539b5e9c4d9d8cf4b94557411cf81c1092bfc0b68	RRAP_ECT01_2021_Ahya_ECAY_85_R2.fastq.gz	700d204c4fa76dd540c6504b60e82ad9fe5cff30834da5e42c99f7e71b566715	713	20220607_laffy	27327	1076	121	1076	121	0	0	0	0	992	71	0	0	337	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-21.47048956	152.5616477	20210122	~3	East Cay
150615	RRAP_ECT01_2021_Ahya_NONA_126	RRAP_ECT01_2021_Ahya_NONA_126_R1.fastq.gz	b496b17a3236d180cca88db73a7156a0699248e94224cd6e29809c84ebc9b991	RRAP_ECT01_2021_Ahya_NONA_126_R2.fastq.gz	4027d8306ab5527e89b6b91c40196065d6c3adaa794abc97e9fa1167f3995521	713	20220607_laffy	33484	805	102	796	100	0	0	9	2	745	63	0	0	311	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.65090424	145.6384812	20210325	1.4	No Name reef
150646	RRAP_ECT01_2021_Ahya_OCCH_323	RRAP_ECT01_2021_Ahya_OCCH_323_R1.fastq.gz	b773d9ddb3b0034c08ef64eca12fedcb391587d2cc644b2e37e68d7c47a3549e	RRAP_ECT01_2021_Ahya_OCCH_323_R2.fastq.gz	dcc147083dd534ca7df25eed6b5e70ec44ffe8feebde70b4c864c8509625420d	713	20220607_laffy	27369	1094	119	1094	119	0	0	0	0	1001	66	0	0	393	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.67030023	147.7064108	20210420	1	Chicken
150413	RRAP_ECT01_2021_Ahya_KELS_209	RRAP_ECT01_2021_Ahya_KELS_209_R1.fastq.gz	ab98de9bc07409d56279b0d69fc2fd69536b0c40822e3b467139e260351024e9	RRAP_ECT01_2021_Ahya_KELS_209_R2.fastq.gz	560facb9736ad26b83a2f037c6351b3c8f3df56ab7dd47cbacb2dda88d913ca5	713	20220607_laffy	24458	805	90	805	90	0	0	0	0	754	65	0	0	286	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	-18.42901424	146.984301	20210411	3.1	Kelso
150390	RRAP_ECT01_2021_Ahya_HICK_8	RRAP_ECT01_2021_Ahya_HICK_8_R1.fastq.gz	c8418f92caf4bdf6add2c3d4233020ff08ba27b944d1088de5a025ce24310307	RRAP_ECT01_2021_Ahya_HICK_8_R2.fastq.gz	1fb99a4dfb9df4d1403a932d894fa983e23dfab70826d342a66afa6c91cd9bad	713	20220607_laffy	34028	914	115	884	113	0	0	30	2	821	76	0	0	366	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.47358801	145.5046293	20210319	1.9	Hicks Reef
