otu	Domain	Supergroup	Division	Class	Order	Family	Genus	Symportal type
C50ca	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50ca
C50bx	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50bx
C50cf	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50cf
C3xb	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3xb
48186_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	48186_C
C3xa	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3xa
2622358_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622358_C
1978456_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1978456_C
C1	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C1
C50cd	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50cd
1066336_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1066336_C
2622379_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622379_C
919503_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	919503_C
37138_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	37138_C
C50ce	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50ce
21173_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	21173_C
2622376_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622376_C
2622363_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622363_C
C3su	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3su
21216_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	21216_C
