"Site.name","Genotype","C50b/C50p-C3-C50f-C3bm-C3dt","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k/C50a/C50c-C3-C3ba-C50q-C50f","C3k/C50a/C50b/C50c-C3ba-C50q-C3-C50f","C3k-C3wy-C50a-C3wu-C3ba-C50q","C3k/C3bo-C3ba-C50a-C50q-C50b","C3k/C50b-C3ba-C50a-C50q-C3-C3bh","C3k-C50a-C3wy-C50b-C3ba-C3wu","C3k/C50b-C50a-C3ba-C50q-C3-C50f","C3k/C50a/C1-C3-C3ba-C3dq-C50q-C3a","A1-A1gr-A1gd","A1-A1gr-A1gd-A1mm-A1bf","dominant_type","all_typeprofs","SampleYear","Site.name_geno_year","C3k","C50b","A1","C50c","C50a","A1gr","C3bo","C50p","C3ba","C3","C3dq","C3wy","A1gd","C50q","C3a","C3wu","C3bp","C50f","C3bm","C1","C3bh","C3cz","C50bj","C3wv","C3b","C50u","C50aj","C3bd","C3ah","298_C","C3ad","C21","C50v","40872_C","48186_C","C3ss","C3jv","40786_C","C3su","37134_C","C50aq","37138_C","21216_C","C50ax","C3st","21223_C","21173_C","1079331_C","TotalAbundance","Sitecode","OTU_PC1","OTU_PC2","OTU_PC3","OTU_PC4","OTU_PC5","OTU_PC6"
"St Crispin",261,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_261_2021",9344,243,0,233,971,0,0,0,1594,277,329,0,0,714,183,0,0,258,0,0,203,130,0,0,0,0,207,258,83,0,0,0,0,0,0,209,144,0,0,101,0,109,0,0,0,0,138,0,15728,"STCR",-2.77751789879752,0.311767128468168,-0.715372244088552,-0.157747527689353,-0.749345213461134,-1.58852245909804
"St Crispin",186,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_186_2021",9349,0,0,307,950,0,0,0,1559,270,394,0,0,892,207,0,0,270,0,0,0,238,0,0,0,0,265,258,91,0,0,0,0,0,0,216,141,0,0,188,0,0,0,0,0,0,135,0,15730,"STCR",-3.35500199870407,-0.0710325292107902,-0.62802346848471,0.00264429419671976,-0.528993105551351,-0.944553622978986
"North Direction",86,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","North Direction_86_2021",8158,295,0,126,1338,0,0,0,1703,688,369,0,0,1184,297,0,0,415,0,0,0,0,0,0,0,0,285,314,146,0,0,0,0,0,0,94,124,0,0,72,0,121,0,0,0,0,0,0,15729,"NDIR",-2.02469471636837,-0.680398045922487,-1.79841749871132,-0.519034186703942,-0.0261944762560311,-1.46794744530294
"No Name",121,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","No Name_121_2021",11035,0,0,110,1150,0,0,0,615,399,149,0,0,578,88,0,0,171,0,0,0,120,0,0,0,0,0,132,182,0,0,0,0,0,0,156,277,0,0,144,0,176,0,0,0,76,169,0,15727,"NONA",-2.83924097447287,1.34837141301621,1.40320802364469,-0.5363809521732,-0.265104559985558,-1.3503292023785
"St Crispin",265,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_265_2021",10059,239,0,0,661,0,0,0,1377,317,326,0,0,704,183,0,0,244,0,0,0,77,0,0,0,0,222,233,144,0,0,0,0,100,0,300,226,0,0,127,0,190,0,0,0,0,0,0,15729,"STCR",-3.6243208222878,0.484061393596864,-0.533649218974051,-0.904136597014279,-0.0773197332607083,-1.86680878766541
"No Name",122,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","No Name_122_2021",7142,189,0,332,1806,0,0,0,1567,651,434,0,0,1389,300,0,0,405,0,0,0,0,202,0,0,0,296,233,73,0,123,0,0,0,0,99,109,170,0,97,0,112,0,0,0,0,0,0,15729,"NONA",-1.59127910408511,-1.80470131283412,-1.81725238186373,-0.279288225476048,0.190434278144962,-1.23792188598978
"No Name",127,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","No Name_127_2021",9198,96,0,198,1418,0,85,0,756,705,304,0,0,804,180,0,0,284,0,0,114,84,138,0,0,0,126,217,101,0,0,0,0,0,0,104,207,172,0,158,0,136,69,0,0,73,0,0,15727,"NONA",-2.29998202996831,0.518076727910041,0.220938371337058,0.00853964224137718,0.652509061250334,-0.0629457536407281
"North Direction",95,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","North Direction_95_2021",9778,0,0,291,932,0,0,0,1370,341,373,0,0,741,221,0,0,289,0,0,0,0,85,0,0,0,203,162,217,0,0,0,0,0,0,71,246,212,0,196,0,0,0,0,0,0,0,0,15728,"NDIR",-2.58120888512401,-0.0924006489789422,-0.629389105288622,-0.571274215742888,-0.244750982011368,-1.88338440931647
"No Name",128,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","No Name_128_2021",8422,251,0,0,1044,0,0,0,1911,463,425,0,0,1190,292,0,0,305,0,0,0,0,0,0,0,0,287,227,103,94,0,0,0,0,0,174,241,0,0,134,0,164,0,0,0,0,0,0,15727,"NONA",-3.08162314371796,-0.887199045910872,-2.39907635992387,-1.20260067281108,-0.363327783551168,-1.92064566941457
"St Crispin",253,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_253_2021",8628,82,0,188,1234,0,0,0,1217,524,358,0,0,787,245,0,0,321,0,0,78,114,0,0,0,0,234,370,157,0,0,0,0,98,0,255,148,220,287,96,0,0,0,0,0,87,0,0,15728,"STCR",-4.09883521651391,0.507060408768792,-0.0669492095289831,0.523426568573217,0.884345772356757,-0.764495323340483
