"Site_year","Collection.date","Site","Site_geno_year","Site.name","Genotype","Depth_corrected","Time","Health.Chart","Health.Chart.num","SampleYear","Tide_adjust","fvfm_ED50","fvfm_ED50CIrange","LowerCI_fvfmED50","UpperCI_fvfmED50","fvfm_ed50_std_error","ndvi_ED50","ndvi_ED50CIrange","LowerCI_ndviED50","UpperCI_ndviED50","ndvi_ed50_std_error","RelativeNDVI9C","RelativeFvFm9C","Lat","Lon","Km_to_coastline","Subregion","Shelf.pos","Region","acuteHeatStress","naturalBleaching","resampled","subproject","Trip","RelativeFvFm9C.adj","RelativeNDVI9C.adj","ndvi_ED50.adj","fvfm_ED50.adj","Sitename_geno_year"
"Martin_2021","2021-03-27","Martin","Martin_133_2021","Martin",133,0.8,"2021-03-27 09:12:00","E4",4,2021,2.6131932695125,NA,NA,NA,NA,NA,36.2036466900607,2.41066480382572,34.9983142881479,37.4089790919736,0.612220196550005,0.0840789027854646,0.209768314191221,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.164374447943152,0.227370756525629,35.6849797660509,NA,"Martin_133_2021"
"Martin_2021","2021-03-27","Martin","Martin_134_2021","Martin",134,0.8,"2021-03-27 09:14:00","C3",3,2021,2.60443360150272,36.9585853706692,1.5620191444502,36.1775757984441,37.7395949428943,0.396695412034274,36.3016874314591,2.37778978275888,35.1127925400797,37.4905823228386,0.603871150333711,0.0986881970527955,0.263005000507212,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.217611134259143,0.24198005079296,35.7830205074493,36.0376579903335,"Martin_134_2021"
"Martin_2021","2021-03-27","Martin","Martin_135_2021","Martin",135,0,"2021-03-27 09:17:00","C3",3,2021,2.59082347637538,37.363503920187,0.176654874284708,37.2751764830447,37.4518313573294,0.0448638407481878,36.3234467802083,2.56370277091955,35.0415953947485,37.605298165668,0.651086211495385,0.11908660417492,0.434141273481008,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.388747407232939,0.262378457915084,35.8047798561985,36.4425765398513,"Martin_135_2021"
"Martin_2021","2021-03-27","Martin","Martin_136_2021","Martin",136,0,"2021-03-27 09:20:00","C3/C4",3.5,2021,2.57665603157541,37.2630890058471,0.461848013175995,37.0321649992591,37.4940130124351,0.11729240869743,36.0177913619494,1.44938782462745,35.2930974496357,36.7424852742632,0.368091199349816,0.10481517595494,0.3986979345221,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.353304068274031,0.248107029695104,35.4991244379396,36.3421616255114,"Martin_136_2021"
"Martin_2021","2021-03-27","Martin","Martin_137_2021","Martin",137,0.1,"2021-03-27 09:24:00","D2/D3",2.5,2021,2.55691419512506,37.357054312025,0.270960726952424,37.2215739485488,37.4925346755013,0.0688140587811634,36.2749683816957,1.82576138801276,35.3620876876893,37.1878490757021,0.463676241528346,0.101931933581315,0.450917265131402,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.405523398883333,0.245223787321479,35.7563014576859,36.4361269316893,"Martin_137_2021"
"Martin_2021","2021-03-27","Martin","Martin_138_2021","Martin",138,1.1,"2021-03-27 09:27:00","C2/C3",2.5,2021,2.54148062941781,37.1987530820177,0.434063621489571,36.9817212712729,37.4157848927625,0.110236195111746,36.4105978218262,1.5379512307692,35.6416222064416,37.1795734372108,0.390583047170877,0.09452708854067,0.319267837485175,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.273873971237106,0.237818942280834,35.8919308978164,36.277825701682,"Martin_138_2021"
"Martin_2021","2021-03-27","Martin","Martin_139_2021","Martin",139,1.2,"2021-03-27 09:27:00","C3/C4",3.5,2021,2.54148062941781,37.1633022228338,0.557604265353831,36.8845000901569,37.4421043555108,0.141610974860662,36.3108618428305,2.63615698198225,34.9927833518393,37.6289403338216,0.669486916258354,0.0973783839900805,0.409973833725141,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.364579967477072,0.240670237730245,35.7921949188207,36.2423748424981,"Martin_139_2021"
"Martin_2021","2021-03-27","Martin","Martin_140_2021","Martin",140,1.9,"2021-03-27 09:35:00","C2/C3",2.5,2021,2.49777405516037,37.2325536394897,0.724600211195778,36.8702535338918,37.5948537450876,0.184021803037252,36.2603296951608,3.23171011724048,34.6444746365406,37.8761847537811,0.820735508325212,0.0956138936676319,0.393195491072953,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.347801624824884,0.238905747407796,35.741662771151,36.311626259154,"Martin_140_2021"
"Martin_2021","2021-03-27","Martin","Martin_141_2021","Martin",141,1.8,"2021-03-27 09:38:00","C1/C2",1,2021,2.48045629109931,37.3116149154096,0.494944700383584,37.0641425652178,37.5590872656014,0.125697749960647,36.159618227041,2.81083938107206,34.754198536505,37.565037917577,0.713849820854162,0.113052338969208,0.431206768530353,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.385812902282284,0.256344192709372,35.6409513030312,36.3906875350739,"Martin_141_2021"
"Martin_2021","2021-03-27","Martin","Martin_142_2021","Martin",142,1.1,"2021-03-27 09:45:00","C4",4,2021,2.43816232067274,37.5224769269102,0.415612930103293,37.3146704618585,37.7302833919618,0.10555039811124,36.3622557134758,2.54115477954119,35.0916783237052,37.6328331032464,0.645359850994512,0.0723914985999821,0.520798471213753,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.475404604965684,0.215683352340146,35.843588789466,36.6015495465745,"Martin_142_2021"
"Martin_2021","2021-03-27","Martin","Martin_143_2021","Martin",143,0.6,"2021-03-27 09:47:00","C1/C2",1,2021,2.42560815111517,37.0408732493505,0.80192484798728,36.6399108253569,37.4418356733442,0.203659416802354,36.2461854266047,2.63579253605619,34.9282891585766,37.5640816946328,0.669394360397359,0.0808361676170584,0.413274240347564,-14.7801,145.3681,16.686,"Cooktown","Inshore","North","Y","N","N","ECT",2,0.367880374099495,0.224128021357223,35.7275185025949,36.1199458690148,"Martin_143_2021"
