"Site","Site.name","Reef.name","SampleYear","Genotype","Tank","Treatment","Site_Rack","Site_Rack_Year","Site_year","Site_geno_year","Collection.date","Type","Qualityscore","PAM_date","PAM_time","F1","F2","F3","Fm.1","Fm.2","Fm.3","Y.II.1","Y.II.2","Y.II.3","Y.II.mean","Y.II.sd","F0mean","FMmean","file","Site_year_tank","meanTemp_hold","meanTemp_hold_corr","eventID"
"EastCay-22Jan","East Cay","East Cay",2021,41,4,"+6C","EastCay-22Jan_183","EastCay-22Jan_183_2021","EastCay-22Jan_2021","EastCay-22Jan_41_2021","2021-01-21","Seasim",0,"22.01.21","22:15:53",0.1721,0.1824,0.1863,0.4436,0.4451,0.4662,0.612,0.59,0.6,0.600666666666667,0.0110151410945722,0.180266666666667,0.451633333333333,"../RawData/PAM/2021/EasyCay-22Jan_183.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_41a"
"EastCay-22Jan","East Cay","East Cay",2021,45,4,"+6C","EastCay-22Jan_184","EastCay-22Jan_184_2021","EastCay-22Jan_2021","EastCay-22Jan_45_2021","2021-01-21","Seasim",0,"22.01.21","22:15:53",0.2387,0.2373,0.2647,0.5696,0.5775,0.6353,0.581,0.589,0.583,0.584333333333333,0.00416333199893227,0.2469,0.594133333333333,"../RawData/PAM/2021/EasyCay-22Jan_184.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_45a"
"EastCay-22Jan","East Cay","East Cay",2021,51,4,"+6C","EastCay-22Jan_905","EastCay-22Jan_905_2021","EastCay-22Jan_2021","EastCay-22Jan_51_2021","2021-01-21","Seasim",0,"22.01.21","22:15:30",0.2108,0.1809,0.1672,0.6946,0.6059,0.5544,0.697,0.701,0.698,0.698666666666667,0.00208166599946613,0.1863,0.6183,"../RawData/PAM/2021/EasyCay-22Jan_905.csv","EastCay-22Jan_2021_4",32.36365,32.36365,"Ahya_51a"
"EastCay-22Jan","East Cay","East Cay",2021,38,7,"MMM","EastCay-22Jan_625","EastCay-22Jan_625_2021","EastCay-22Jan_2021","EastCay-22Jan_38_2021","2021-01-21","Seasim",0,"22.01.21","22:25:44",0.2265,0.2206,0.2181,0.5309,0.5436,0.5466,0.573,0.594,0.601,0.589333333333333,0.0145716619962629,0.221733333333333,0.540366666666667,"../RawData/PAM/2021/EasyCay-22Jan_625.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_38a"
"EastCay-22Jan","East Cay","East Cay",2021,39,7,"MMM","EastCay-22Jan_626","EastCay-22Jan_626_2021","EastCay-22Jan_2021","EastCay-22Jan_39_2021","2021-01-21","Seasim",0,"22.01.21","22:25:44",0.2539,0.3,0.3206,0.6059,0.6809,0.7426,0.581,0.559,0.568,0.569333333333333,0.011060440015358,0.2915,0.676466666666667,"../RawData/PAM/2021/EasyCay-22Jan_626.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_39a"
"EastCay-22Jan","East Cay","East Cay",2021,40,7,"MMM","EastCay-22Jan_627","EastCay-22Jan_627_2021","EastCay-22Jan_2021","EastCay-22Jan_40_2021","2021-01-21","Seasim",0,"22.01.21","22:25:44",0.2245,0.2225,0.2598,0.5382,0.548,0.6201,0.583,0.594,0.581,0.586,0.00700000000000001,0.2356,0.568766666666667,"../RawData/PAM/2021/EasyCay-22Jan_627.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_40a"
"EastCay-22Jan","East Cay","East Cay",2021,44,7,"MMM","EastCay-22Jan_628","EastCay-22Jan_628_2021","EastCay-22Jan_2021","EastCay-22Jan_44_2021","2021-01-21","Seasim",0,"22.01.21","22:25:44",0.2794,0.2672,0.3064,0.6176,0.5877,0.6279,0.548,0.545,0.512,0.535,0.0199749843554382,0.284333333333333,0.611066666666667,"../RawData/PAM/2021/EasyCay-22Jan_628.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_44a"
"EastCay-22Jan","East Cay","East Cay",2021,42,7,"MMM","EastCay-22Jan_593","EastCay-22Jan_593_2021","EastCay-22Jan_2021","EastCay-22Jan_42_2021","2021-01-21","Seasim",0,"22.01.21","22:25:22",0.2176,0.2015,0.1892,0.5961,0.4529,0.501,0.635,0.555,0.622,0.604,0.0429301758673313,0.202766666666667,0.516666666666667,"../RawData/PAM/2021/EasyCay-22Jan_593.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_42a"
"EastCay-22Jan","East Cay","East Cay",2021,43,7,"MMM","EastCay-22Jan_594","EastCay-22Jan_594_2021","EastCay-22Jan_2021","EastCay-22Jan_43_2021","2021-01-21","Seasim",0,"22.01.21","22:25:22",0.1431,0.2157,0.2152,0.377,0.5407,0.5147,0.62,0.601,0.582,0.601,0.019,0.191333333333333,0.477466666666667,"../RawData/PAM/2021/EasyCay-22Jan_594.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_43a"
"EastCay-22Jan","East Cay","East Cay",2021,41,7,"MMM","EastCay-22Jan_595","EastCay-22Jan_595_2021","EastCay-22Jan_2021","EastCay-22Jan_41_2021","2021-01-21","Seasim",0,"22.01.21","22:25:22",0.1696,0.2196,0.2181,0.4132,0.5172,0.5005,0.59,0.575,0.564,0.576333333333333,0.0130511813003013,0.202433333333333,0.476966666666667,"../RawData/PAM/2021/EasyCay-22Jan_595.csv","EastCay-22Jan_2021_7",27.74792778,27.74792778,"Ahya_41a"
