"Site","Site_year","SampleYear","Tank","Site_Rack","Genotype","Rack.Pos","Treatment","MedNDVI","Label","Site_geno_year","Site_year_tank","eventID"
"Chicken","Chicken_2021",2021,11,"Chicken_1115",323,1115,"+6C",0.623079061508179,"Chicken_2021_5am_1115","Chicken_323_2021","Chicken_2021_11","Ahya_323"
"Chicken","Chicken_2021",2021,11,"Chicken_1116",324,1116,"+6C",0.443274736404419,"Chicken_2021_5am_1116","Chicken_324_2021","Chicken_2021_11","Ahya_324"
"Chicken","Chicken_2021",2021,11,"Chicken_489",301,489,"+6C",0.655071496963501,"Chicken_2021_5am_489","Chicken_301_2021","Chicken_2021_11","Ahya_301"
"Chicken","Chicken_2021",2021,11,"Chicken_490",302,490,"+6C",0.542045772075653,"Chicken_2021_5am_490","Chicken_302_2021","Chicken_2021_11","Ahya_302"
"Chicken","Chicken_2021",2021,11,"Chicken_491",303,491,"+6C",0.583443522453308,"Chicken_2021_5am_491","Chicken_303_2021","Chicken_2021_11","Ahya_303"
"Chicken","Chicken_2021",2021,11,"Chicken_492",304,492,"+6C",0.56269770860672,"Chicken_2021_5am_492","Chicken_304_2021","Chicken_2021_11","Ahya_304"
"Chicken","Chicken_2021",2021,11,"Chicken_1041",305,1041,"+6C",0.513225674629211,"Chicken_2021_5am_1041","Chicken_305_2021","Chicken_2021_11","Ahya_305"
"Chicken","Chicken_2021",2021,11,"Chicken_1042",306,1042,"+6C",0.427464425563812,"Chicken_2021_5am_1042","Chicken_306_2021","Chicken_2021_11","Ahya_306"
"Chicken","Chicken_2021",2021,11,"Chicken_1043",307,1043,"+6C",0.47920024394989,"Chicken_2021_5am_1043","Chicken_307_2021","Chicken_2021_11","Ahya_307"
"Chicken","Chicken_2021",2021,11,"Chicken_1044",308,1044,"+6C",0.531875967979431,"Chicken_2021_5am_1044","Chicken_308_2021","Chicken_2021_11","Ahya_308"
"Chicken","Chicken_2021",2021,12,"Chicken_161",301,161,"+9C",0.072800800204277,"Chicken_2021_5am_161","Chicken_301_2021","Chicken_2021_12","Ahya_301"
"Chicken","Chicken_2021",2021,12,"Chicken_162",302,162,"+9C",0.0951269418001175,"Chicken_2021_5am_162","Chicken_302_2021","Chicken_2021_12","Ahya_302"
"Chicken","Chicken_2021",2021,12,"Chicken_163",303,163,"+9C",0.0661321058869362,"Chicken_2021_5am_163","Chicken_303_2021","Chicken_2021_12","Ahya_303"
"Chicken","Chicken_2021",2021,12,"Chicken_164",304,164,"+9C",0.175099194049835,"Chicken_2021_5am_164","Chicken_304_2021","Chicken_2021_12","Ahya_304"
