"Site.name","Variable","Metric","Value","Depth","Source","Spat_res","Time_res","Period","Multi_level","Depth.adjusted"
"Kelso","Temperature","MMM",28.453,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","MMM",27.106,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","MMM",28.786,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","MMM",28.632,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","MMM",28.651,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","MMM",28.556,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","MMM",28.559,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","MMM",28.743,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","MMM",28.707,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","MMM",27.13,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","DHW_collection_ A.spathulata _ 2",4.66885714285715,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","DHW_collection_ A.spathulata _ 2",4.60500000000001,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","DHW_collection_ A.spathulata _ 2",2.34228571428571,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","DHW_collection_ A.spathulata _ 2",0.345428571428572,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","DHW_collection_ A.spathulata _ 2",0.319714285714286,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","DHW_collection_ A.spathulata _ 2",3.75328571428572,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","DHW_collection_ A.spathulata _ 2",4.21342857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","DHW_collection_ A.spathulata _ 2",0.474571428571427,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","DHW_collection_ A.spathulata _ 2",2.56142857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","DHW_collection_ A.spathulata _ 2",3.26714285714285,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","DHW_collection_ A.spathulata _ 2",3.46428571428571,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","DHW_collection_ A.spathulata _ 2",3.56257142857143,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_collection_ A.spathulata _ 2",2.84542857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","DHW_collection_ A.spathulata _ 2",4.27485714285715,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","DHW_collection_ A.spathulata _ 2",2.96485714285714,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","DHW_collection_ A.hyacenthus _ 1",3.89585714285715,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","DHW_collection_ A.hyacenthus _ 1",3.73857142857143,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_collection_ A.hyacenthus _ 1",3.33557142857143,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_collection_ A.hyacenthus _ 1",3.17257142857143,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_collection_ A.hyacenthus _ 1",3.021,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","DHW_collection_ A.hyacenthus _ 1",2.15342857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","DHW_collection_ A.hyacenthus _ 1",2.39342857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","DHW_collection_ A.hyacenthus _ 1",0.760714285714285,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","DHW_collection_ A.hyacenthus _ 1",0.149571428571429,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","DHW_collection_ A.hyacenthus _ 1",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","DHW_collection_ A.hyacenthus _ 1",0.152714285714286,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","DHW_collection_ A.hyacenthus _ 2",2.56142857142857,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","DHW_collection_ A.hyacenthus _ 2",4.66885714285715,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","DHW_collection_ A.hyacenthus _ 2",4.17242857142858,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","DHW_collection_ A.hyacenthus _ 2",0.474571428571427,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","DHW_collection_ A.hyacenthus _ 2",0.319714285714286,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","DHW_collection_ A.hyacenthus _ 2",4.56785714285715,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","DTR",0.141159677242075,-13,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",11.77
"21-550","Temperature","DTR",0.153203767831851,-9,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",7.77
"21-550","Temperature","DTR",0.17679279470839,-5.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",4.12
"21-550","Temperature","DTR",0.20679213156585,-2.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",1.12
"21-550","Temperature","DTR",0.226881458060487,-0.5,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",-0.73
"Chicken","Temperature","DTR",0.311337084661086,-13,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",11.51
"Chicken","Temperature","DTR",0.287360292503284,-9,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",7.51
"Chicken","Temperature","DTR",0.283948658568583,-5.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",3.86
"Chicken","Temperature","DTR",0.444518758117555,-2.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",0.86
"Chicken","Temperature","DTR",0.560955886013464,-0.5,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",-0.99
"Davies","Temperature","DTR",0.233611288584831,-13,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",11.5
