"","Site_year","Site","Site_geno_year","Genotype","SampleYear","Absolute_estimate_ED50","fvfm_ED50CIrange","LowerCI_fvfmED50","UpperCI_fvfmED50","Std..Error","eventID"
"78","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_25_2021","25","2021",38.8610879231806,6.89128407114929,35.415445887606,42.3067299587553,1.74225387600976,"Ahya_25a"
"79","Reef21550-20Jan_2021","Reef21550-20Jan","Reef21550-20Jan_26_2021","26","2021",36.581551222865,NA,NA,NA,NA,"Ahya_26a"
"80","Sykes_2021","Sykes","Sykes_126_2021","126","2021",36.5280909855085,2.54546760111282,35.2553571849521,37.800824786065,0.646637057206409,"Ahya_126a"
"81","Sykes_2021","Sykes","Sykes_127_2021","127","2021",40,12.7062062063846,33.6468968968077,46.3531031031923,3.22781707610906,"Ahya_127a"
"82","Sykes_2021","Sykes","Sykes_128_2021","128","2021",36.5499985341624,2.42075984685641,35.3396186107341,37.7603784575906,0.61495696228478,"Ahya_128a"
"83","Sykes_2021","Sykes","Sykes_129_2021","129","2021",36.0746710922265,2.39791071591256,34.8757157342702,37.2736264501827,0.609152490530043,"Ahya_129a"
"84","Sykes_2021","Sykes","Sykes_130_2021","130","2021",35.9106788749576,NA,NA,NA,NA,"Ahya_130a"
"85","Sykes_2021","Sykes","Sykes_131_2021","131","2021",35.8040602179879,NA,NA,NA,NA,"Ahya_131a"
"86","Sykes_2021","Sykes","Sykes_121_2021","121","2021",35.8448159168209,NA,NA,NA,NA,"Ahya_121a"
"87","Sykes_2021","Sykes","Sykes_122_2021","122","2021",36.7875663311405,3.46510452170072,35.0550140702901,38.5201185919908,0.880256731551251,"Ahya_122a"
"88","Sykes_2021","Sykes","Sykes_123_2021","123","2021",35.486155009352,0.48500276421538,35.2436536272443,35.7286563914597,0.123207523856166,"Ahya_123a"
"89","Sykes_2021","Sykes","Sykes_124_2021","124","2021",35.3900973093264,0.339315509803285,35.2204395544247,35.559755064228,0.0861979082459223,"Ahya_124a"
"90","Sykes_2021","Sykes","Sykes_125_2021","125","2021",35.9154936731978,2.03125829570844,34.8998645253436,36.931122821052,0.516010058894005,"Ahya_125a"
"91","Sykes_2021","Sykes","Sykes_132_2021","132","2021",36.0792029418572,4.60658679673615,33.7759095434891,38.3824963402253,1.17023282036868,"Ahya_132a"
"92","Sykes_2021","Sykes","Sykes_133_2021","133","2021",36.2735437562745,4.01839820916902,34.26434465169,38.282742860859,1.02081251850331,"Ahya_133a"
"93","Sykes_2021","Sykes","Sykes_134_2021","134","2021",35.7494162498703,2.25398619327586,34.6224231532323,36.8764093465082,0.572590669929011,"Ahya_134a"
"94","Sykes_2021","Sykes","Sykes_135_2021","135","2021",36.1404546187779,2.33835530228875,34.9712769676335,37.3096322699222,0.59402334986073,"Ahya_135a"
"95","Sykes_2021","Sykes","Sykes_141_2021","141","2021",35.6905195761792,NA,NA,NA,NA,"Ahya_141a"
"96","Sykes_2021","Sykes","Sykes_142_2021","142","2021",36.1807639178924,NA,NA,NA,NA,"Ahya_142a"
"97","Sykes_2021","Sykes","Sykes_143_2021","143","2021",35.5949508632704,1.0346983444654,35.0776016910377,36.1123000355031,0.262849266778702,"Ahya_143a"
"98","Sykes_2021","Sykes","Sykes_144_2021","144","2021",35.4379459806322,0.474423969256407,35.200733996004,35.6751579652604,0.120520143023635,"Ahya_144a"
"99","Sykes_2021","Sykes","Sykes_145_2021","145","2021",35.5690401358493,1.02499377786918,35.0565432469147,36.0815370247839,0.260383970271884,"Ahya_145a"
"100","Sykes_2021","Sykes","Sykes_150_2021","150","2021",35.4703302502396,0.492947975286583,35.2238562625963,35.7168042378829,0.125225883038472,"Ahya_150a"
"101","Sykes_2021","Sykes","Sykes_151_2021","151","2021",36.2158171882998,6.1801195464391,33.1257574150802,39.3058769615193,1.56996471490979,"Ahya_151a"
"102","Sykes_2021","Sykes","Sykes_152_2021","152","2021",36.3104811764996,3.96971320729676,34.3256245728512,38.295337780148,1.00844483944623,"Ahya_152a"
"103","Sykes_2021","Sykes","Sykes_153_2021","153","2021",35.8629230550751,1.75773882135221,34.984053644399,36.7417924657512,0.446526625709064,"Ahya_153a"
"104","Sykes_2021","Sykes","Sykes_154_2021","154","2021",35.6970389051765,1.47573646442542,34.9591706729638,36.4349071373892,0.374888246132485,"Ahya_154a"
"105","Sykes_2021","Sykes","Sykes_155_2021","155","2021",36.1444834838668,3.12553087816789,34.5817180447829,37.7072489229508,0.793993248384963,"Ahya_155a"
"106","Sykes_2021","Sykes","Sykes_156_2021","156","2021",35.8341045800804,1.88450265756043,34.8918532513002,36.7763559088607,0.478729036759217,"Ahya_156a"
"107","Sykes_2021","Sykes","Sykes_157_2021","157","2021",36.4280133427925,4.17971524864714,34.3381557184689,38.5178709671161,1.06179264162088,"Ahya_157a"
"108","Sykes_2021","Sykes","Sykes_158_2021","158","2021",35.6605426030704,0.863941093235056,35.2285720564529,36.092513149688,0.219471002453527,"Ahya_158a"
"109","Sykes_2021","Sykes","Sykes_159_2021","159","2021",36.0065308075985,1.38318287878823,35.3149393682044,36.6981222469927,0.351376425269327,"Ahya_159a"
"110","Sykes_2021","Sykes","Sykes_160_2021","160","2021",35.9728223898942,1.51331947085016,35.2161626544691,36.7294821253193,0.384435633286358,"Ahya_160a"
"111","Sykes_2021","Sykes","Sykes_161_2021","161","2021",35.7701594265958,0.977732125435494,35.2812933638781,36.2590254893136,0.248377871339384,"Ahya_161a"
"112","Hicks-20March_2021","Hicks-20March","Hicks-20March_1_2021","1","2021",36.6883810052007,0.72581591894641,36.3254730457275,37.0512889646739,0.183915614549492,"Ahya_1b"
"113","Hicks-20March_2021","Hicks-20March","Hicks-20March_2_2021","2","2021",37.1562468910377,0.515357454426308,36.8985681638246,37.4139256182509,0.130587219802319,"Ahya_2b"
"114","Hicks-20March_2021","Hicks-20March","Hicks-20March_3_2021","3","2021",36.6607317573207,0.719918435798675,36.3007725394214,37.02069097522,0.182421242203698,"Ahya_3b"
"115","Hicks-20March_2021","Hicks-20March","Hicks-20March_4_2021","4","2021",36.931462574922,0.492873018140713,36.6850260658517,37.1778990839924,0.124889853832077,"Ahya_4b"
"116","Hicks-20March_2021","Hicks-20March","Hicks-20March_5_2021","5","2021",36.4585514839375,0.874342471161441,36.0213802483568,36.8957227195182,0.221550986569438,"Ahya_5b"
"117","Hicks-20March_2021","Hicks-20March","Hicks-20March_6_2021","6","2021",36.4786214785057,0.82571723990543,36.065762858553,36.8914800984584,0.209229764265519,"Ahya_6b"
"118","Hicks-20March_2021","Hicks-20March","Hicks-20March_7_2021","7","2021",36.4306114422148,0.843283182605845,36.0089698509119,36.8522530335178,0.213680825564337,"Ahya_7b"
"119","Hicks-20March_2021","Hicks-20March","Hicks-20March_8_2021","8","2021",36.4332575623145,0.924886589459803,35.9708142675846,36.8957008570444,0.234358438618986,"Ahya_8b"
"120","Hicks-20March_2021","Hicks-20March","Hicks-20March_9_2021","9","2021",36.389602914378,0.753601274542262,36.0128022771069,36.7664035516491,0.190956188635146,"Ahya_9b"
"121","Hicks-20March_2021","Hicks-20March","Hicks-20March_10_2021","10","2021",36.0675408724695,0.901567235452433,35.6167572547432,36.5183244901957,0.228449511560195,"Ahya_10b"
"122","Hicks-20March_2021","Hicks-20March","Hicks-20March_11_2021","11","2021",36.5113552952573,0.774786580600392,36.1239620049571,36.8987485855574,0.196324365994433,"Ahya_11b"
"123","Hicks-20March_2021","Hicks-20March","Hicks-20March_12_2021","12","2021",36.034908057401,0.978569256773213,35.5456234290144,36.5241926857876,0.247961172441541,"Ahya_12b"
"124","Hicks-20March_2021","Hicks-20March","Hicks-20March_13_2021","13","2021",36.3203518955178,0.76407298032376,35.9383154053559,36.7023883856797,0.193609630305289,"Ahya_13b"
"125","Hicks-20March_2021","Hicks-20March","Hicks-20March_14_2021","14","2021",36.5789100324293,0.811570992541533,36.1731245361586,36.9846955287001,0.205645224839494,"Ahya_14b"
"126","Hicks-20March_2021","Hicks-20March","Hicks-20March_15_2021","15","2021",36.4751746059213,0.829441603676699,36.060453804083,36.8898954077597,0.210173486542642,"Ahya_15b"
"127","Hicks-20March_2021","Hicks-20March","Hicks-20March_16_2021","16","2021",36.1968946072137,0.871782175274276,35.7610035195765,36.6327856948508,0.220902229247881,"Ahya_16b"
"128","Hicks-20March_2021","Hicks-20March","Hicks-20March_17_2021","17","2021",36.1275440741437,0.887788313247725,35.6836499175198,36.5714382307675,0.224958049222491,"Ahya_17b"
"129","Hicks-20March_2021","Hicks-20March","Hicks-20March_18_2021","18","2021",36.1847173783453,0.822812118939069,35.7733113188758,36.5961234378149,0.208493631185598,"Ahya_18b"
"130","Hicks-20March_2021","Hicks-20March","Hicks-20March_19_2021","19","2021",36.321309749108,0.770934024363527,35.9358427369262,36.7067767612897,0.195348160830847,"Ahya_19b"
"131","Hicks-20March_2021","Hicks-20March","Hicks-20March_20_2021","20","2021",36.2852616795568,0.820044986976725,35.8752391860684,36.6952841730451,0.207792463352118,"Ahya_20b"
"132","Hicks-21March_2021","Hicks-21March","Hicks-21March_21_2021","21","2021",36.6126114920395,0.681945559271526,36.2716387124037,36.9535842716752,0.172951783606111,"Ahya_21b"
"133","Hicks-21March_2021","Hicks-21March","Hicks-21March_22_2021","22","2021",36.3440085352271,0.685454960730567,36.0012810548618,36.6867360155924,0.173841821283573,"Ahya_22b"
"134","Hicks-21March_2021","Hicks-21March","Hicks-21March_23_2021","23","2021",36.3092530728095,0.735213205776233,35.9416464699214,36.6768596756976,0.186461270318407,"Ahya_23b"
"135","Hicks-21March_2021","Hicks-21March","Hicks-21March_24_2021","24","2021",36.2033874828778,0.731150625310448,35.8378121702226,36.5689627955331,0.185430938016879,"Ahya_24b"
"136","Hicks-21March_2021","Hicks-21March","Hicks-21March_25_2021","25","2021",36.8965441347786,0.642854318872892,36.5751169753421,37.217971294215,0.163037649466808,"Ahya_25b"
"137","Hicks-21March_2021","Hicks-21March","Hicks-21March_26_2021","26","2021",36.6544044412509,0.778506623036847,36.2651511297325,37.0436577527693,0.197441140532132,"Ahya_26b"
"138","Hicks-21March_2021","Hicks-21March","Hicks-21March_27_2021","27","2021",36.3119869567976,0.766069287640491,35.9289523129774,36.6950216006179,0.194286842786713,"Ahya_27b"
"139","Hicks-21March_2021","Hicks-21March","Hicks-21March_28_2021","28","2021",36.0441894024922,0.712784746759695,35.6877970291123,36.400581775872,0.180773071403247,"Ahya_28b"
"140","Hicks-21March_2021","Hicks-21March","Hicks-21March_29_2021","29","2021",36.4838856499568,0.675297378309793,36.1462369608019,36.8215343391117,0.171265703625919,"Ahya_29b"
"141","Hicks-21March_2021","Hicks-21March","Hicks-21March_30_2021","30","2021",35.644052210599,0.714061566915305,35.2870214271413,36.0010829940566,0.181096892447691,"Ahya_30b"
"142","Hicks-21March_2021","Hicks-21March","Hicks-21March_31_2021","31","2021",36.2530728258851,0.719349222134355,35.8933982148179,36.6127474369522,0.182437922371259,"Ahya_31b"
"143","Hicks-21March_2021","Hicks-21March","Hicks-21March_32_2021","32","2021",36.1049482601584,0.710156773083639,35.7498698736166,36.4600266467002,0.180106577240531,"Ahya_32b"
"144","Hicks-21March_2021","Hicks-21March","Hicks-21March_33_2021","33","2021",36.429678382243,0.694419935468176,36.0824684145089,36.776888349977,0.176115475462814,"Ahya_33b"
"145","Hicks-21March_2021","Hicks-21March","Hicks-21March_34_2021","34","2021",36.4347797015275,0.667598568952698,36.1009804170512,36.7685789860039,0.169313168277825,"Ahya_34b"
